ccode,abbreviation,period,styear,endyear,democracy,duration,war_years,cinc,tpop,dummy_EU,dummy_GATT,dummy_WTO,dummy_NATO,dummy_OECD,religion_max,religion_pop,gdpPercap
2,USA,UNITED STATES OF AMERICA 1800-2010,1800,2010,1,211,36,0.1480978429,312247,0,0,1,1,1,chrstgen,0.7454,54516.85638
20,CAN,CANADA 1867-2010,1867,2010,1,144,13,0.009663039818,34126,0,0,1,1,1,chrstgen,0.7661,44861.52396
31,BHS,BAHAMAS 1973-2010,1973,2010,1,38,0,2.39E-05,360,0,0,0,0,0,NA,NA,34688.0934
40,CUB,CUBA 1902-1908,1902,1908,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,CUB,CUBA 1909-1915,1909,1915,1,7,0,0.001177773345,2590,0,0,0,0,0,NA,NA,NA
40,CUB,CUBA 1916-1939,1916,1939,0,24,0,0.001586794853,4250,0,0,0,0,0,NA,NA,NA
40,CUB,CUBA 1940-1952,1940,1952,1,13,0,0.001493112766,5759,0,1,0,0,0,chrstgen,0.8851,NA
40,CUB,CUBA 1953-2010,1953,2010,0,58,4,0.001302937744,11282,0,0,1,0,0,chrstgen,0.6589,NA
41,HTI,HAITI 1820-2010,1820,2010,0,191,0,5.51E-04,9896,0,0,1,0,0,NA,NA,2932.279149
42,DOM,DOMINICAN REPUBLIC 1844-1965,1844,1965,0,122,0,5.24E-04,3806,0,1,0,0,0,chrstgen,0.967,6207.112113
42,DOM,DOMINICAN REPUBLIC 1966-2010,1966,2010,1,45,0,9.95E-04,10017,0,0,1,0,0,chrstgen,0.87,12677.01756
51,JAM,JAMAICA 1962-2010,1962,2010,1,49,0,1.71E-04,2741,0,0,1,0,0,chrstgen,0.6881,9700.027418
52,TTO,TRINIDAD & TOBAGO 1962-2010,1962,2010,1,49,0,5.04E-04,1328,0,0,1,0,0,NA,NA,27329.42469
53,BRB,BARBADOS 1966-2010,1966,2010,1,45,0,1.98E-05,280,0,0,1,0,0,NA,NA,16019.50743
54,DMA,DOMINICA 1978-2010,1978,2010,1,33,0,1.84E-06,71,0,0,1,0,0,chrstgen,0.92,12335.10993
55,GRD,GRENADA 1974-1978,1974,1978,1,5,0,5.19E-06,109,0,0,0,0,0,NA,NA,8571.903026
55,GRD,GRENADA 1979-1983,1979,1983,0,5,0,1.00E-05,91,0,0,0,0,0,NA,NA,8571.903026
55,GRD,GRENADA 1984-2010,1984,2010,1,27,0,2.83E-06,105,0,0,1,0,0,NA,NA,12493.88455
56,LCA,ST. LUCIA 1979-2010,1979,2010,1,32,0,4.71E-06,177,0,0,1,0,0,NA,NA,14448.2644
57,VCT,ST. VINCENT & GREN. 1979-2010,1979,2010,1,32,0,2.81E-06,109,0,0,1,0,0,NA,NA,11606.39756
58,ATG,ANTIGUA 1982-2003,1982,2003,0,22,0,3.06E-06,81,0,0,1,0,0,NA,NA,18237.26684
58,ATG,ANTIGUA 2004-2010,2004,2010,1,7,0,3.21E-06,87,0,0,1,0,0,NA,NA,18702.09038
60,KNA,ST. KITTS & NEVIS 1984-2010,1984,2010,1,27,0,1.45E-06,52,0,0,1,0,0,NA,NA,24572.83154
70,MEX,MEXICO 1822-1999,1822,1999,0,178,8,0.01458626986,97365,0,0,1,0,1,chrstgen,0.9715,17370.81291
70,MEX,MEXICO 2000-2010,2000,2010,1,11,0,0.01503483858,117886,0,0,1,0,1,chrstgen,0.9686,18036.71759
80,BLZ,BELIZE 1981-2010,1981,2010,1,30,0,1.90E-05,309,0,0,1,0,0,chrstgen,0.7365,8988.865136
89,NA,CENTRAL AMERICAN UNION 1824-NA,1824,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
